pari 2.15.5-1
pari-galdata 20080412-1
pari-seadata-small 20090618-3
parted 3.6-1
paru 2.0.3-1
paru-debug 2.0.1-1
patch 2.7.6-10
pavucontrol 1:5.0+r64+geba9ca6-1
pciutils 3.11.1-1
pcre 8.45-4
pcre2 10.43-1
pcsclite 2.0.3-1
perl 5.38.2-1
perl-clone 0.46-2
perl-encode-locale 1.05-11
perl-error 0.17029-5
perl-file-listing 6.16-2
perl-html-parser 3.81-2
perl-html-tagset 3.20-14
perl-http-cookiejar 0.014-1
perl-http-cookies 6.11-1
perl-http-daemon 6.16-2
perl-http-date 6.06-1
perl-http-message 6.45-1
perl-http-negotiate 6.01-12
perl-io-html 1.004-4
perl-libwww 6.72-1
perl-locale-gettext 1.07-14
perl-lwp-mediatypes 6.04-4
perl-mailtools 2.21-7
perl-net-http 6.23-2
perl-timedate 2.33-5
perl-try-tiny 0.31-3
perl-uri 5.21-1
perl-www-robotrules 6.02-12
perl-xml-parser 2.46-5
phonon-qt5 4.12.0-4
phonon-qt5-gstreamer 4.10.0-4
pinentry 1.2.1-3
pipewire 1:1.0.4-1
pipewire-alsa 1:1.0.4-1
pipewire-audio 1:1.0.4-1
pipewire-pulse 1:1.0.4-1
pipewire-session-manager 1:1.0.4-1
pixman 0.43.4-1
pkgconf 2.1.1-1
planarity 3.0.2.0-1
playerctl 2.4.1-3
plfit 0.9.6-1
polkit 124-2
polkit-qt5 0.200.0-1
polkit-qt6 0.200.0-1
poppler 24.03.0-1
poppler-data 0.4.12-1
poppler-glib 24.03.0-1
poppler-qt5 24.03.0-1
popt 1.19-1
portaudio 1:19.7.0-2
potrace 1.16-2
powertop 2.15-1
ppl 1.2-5
ppp 2.5.0-3
primecount 7.11-1
primesieve 12.1-1
procps-ng 4.0.4-3
projectm 3.1.12-4
protobuf 25.3-1
prrte 3.0.4-3
psmisc 23.7-1
python 3.11.8-1
python-annotated-types 0.6.0-1
python-anyio 4.3.0-1
python-argcomplete 2.0.0-2
python-argon2-cffi-bindings 21.2.0-4
python-argon2_cffi 23.1.0-1
python-asttokens 2.4.1-1
python-async-lru 2.0.4-1
python-attrs 23.2.0-1
python-autocommand 2.2.2-4
python-babel 2.14.0-1
python-backports.cached_property 1.0.2-1
python-beautifulsoup4 4.12.3-1
python-bleach 6.1.0-1
python-brotli 1.1.0-1
python-build 1.1.1-2
python-cachecontrol 1:0.14.0-2
python-cachetools 5.3.2-2
python-cachy 0.3.0-9
python-cairo 1.26.0-1
python-certifi 2024.02.02-1
python-cffi 1.16.0-1
python-charset-normalizer 3.3.2-1
python-cleo 2.1.0-1
python-click 8.1.7-1
python-click-default-group 1.2.4-1
python-cloup 3.0.5-1
python-colorama 0.4.6-2
python-colour 0.1.5-11
python-comm 0.2.2-1
python-contourpy 1.2.0-1
python-crashtest 0.4.1-2
python-cryptography 42.0.5-1
python-cvxopt 1.3.2-3
python-cycler 0.12.1-1
python-cypari2 2.1.4-1
python-cysignals 1.11.4-1
python-dasbus 1.7-1
python-dateutil 2.9.0-2
python-decorator 5.1.1-3
python-defusedxml 0.7.1-5
python-distlib 0.3.8-1
python-distro 1.9.0-1
python-docutils 1:0.20.1-1
python-dulwich 0.21.7-1
python-exceptiongroup 1.2.0-1
python-executing 2.0.0-1
python-fastjsonschema 2.19.1-1
python-filelock 3.13.1-1
python-fonttools 4.50.0-1
python-fpylll 0.6.1-1
python-future 0.18.3-2
python-geographiclib 2.0-3
python-geopy 2.4.1-2
python-glcontext 2.5.0-1
python-gmpy2 2.1.5-2
python-gobject 3.46.0-1
python-google-api-core 2.17.1-1
python-google-auth 2.28.1-1
python-googleapis-common-protos 1.62.0-1
python-greenlet 3.0.3-1
python-h11 0.14.0-2
python-html5lib 1.1-13
python-httpcore 1.0.2-2
python-httplib2 0.22.0-4
python-httpx 0.26.0-1
python-hypothesis 6.99.6-1
python-i3ipc 2.2.1-4
python-idna 3.6-1
python-imagesize 1.4.1-4
python-importlib-metadata 5.1.0-1
python-inflect 7.0.0-3
python-iniconfig 2.0.0-4
python-installer 0.7.0-4
python-ipykernel 6.29.3-2
python-ipywidgets 8.1.2-1
python-isosurfaces 0.1.1-1
python-jaraco.classes 3.3.1-1
python-jaraco.context 4.3.0-3
python-jaraco.functools 4.0.0-1
python-jaraco.text 3.12.0-1
python-jedi 0.19.1-1
python-jeepney 0.8.0-2
python-jinja 1:3.1.3-1
python-json-logger 2.0.7-2
python-json5 0.9.24-1
